{
{0.111892 + 0.523052 I,-0.108129 - 0.0432387 I, 0.343178 + 0.282662 I, -0.0795876 - 0.188787 I, 0.17109 + 0.453712 I, 0.377329 + 0.288423 I} ,
{0.389208 + 0.151876 I, -0.116666 - 0.560235 I, 0.00219735 + 0.382142 I, -0.282632 - 0.404069 I, 0.0325329 + 0.130016 I, 0.0163747 + 0.300926 I},
{0.214253 + 0.467009 I, -0.336103 - 0.137923 I, 0.365854 + 0.237319 I, -0.398514 - 0.320159 I, 0.0986349 + 0.222999 I, 0.0910603 + 0.291163 I},
{0.532307 + 0.449618 I, -0.127146 - 0.181773 I, 0.0984332 + 0.195973 I, -0.0278405 - 0.320427 I, 0.211053 + 0.251109 I, 0.403104 + 0.208927 I},
{0.427411 + 0.369456 I, -0.323553 - 0.39005 I, 0.139569 + 0.294218 I, -0.107369 - 0.455039 I, 0.25078 + 0.0252879 I, 0.0409338 + 0.184821 I},
{0.193617 + 0.450447 I, -0.0929623 - 0.288032 I, 0.0643131 + 0.371937 I, -0.388961 - 0.00613466 I, 0.0933145 + 0.482042 I, 0.364452 + 0.0175264 I},
{0.0898835 + 0.358115 I, -0.306415 - 0.174203 I, 0.467728 + 0.427077 I, -0.121025 - 0.0502173 I, 0.328489 + 0.232098 I, 0.0915626 + 0.388518 I},
{0.466837 + 0.0952542 I, -0.1312 - 0.278386 I, 0.423813 + 0.357046 I, -0.324256 - 0.334094 I, 0.200068 + 0.312907 I, 0.00601512 + 0.128229 I},
{0.096809 + 0.479658 I, -0.128685 - 0.172987 I, 0.029718 + 0.428814 I, -0.471456 - 0.0420282 I, 0.158815 + 0.0519357 I, 0.403882 + 0.337979 I},
{0.287832 + 0.315552 I, -0.313658 - 0.0389154 I, 0.163555 + 0.355972 I, -0.296884 - 0.206667 I, 0.220813 + 0.255553 I, 0.383796 + 0.414731 I},
{0.424132 + 0.0420721 I, -0.388696 - 0.323055 I, 0.0599673 + 0.357688 I, -0.0604355 - 0.299744 I, 0.107035 + 0.33385 I, 0.376429 + 0.270639 I},
{0.221538 + 0.277492 I, -0.194123 - 0.330867 I, 0.0177025 + 0.139984 I, -0.4107 - 0.0311825 I, 0.42884 + 0.261764 I, 0.185111 + 0.500516 I},
{0.184128 + 0.360136 I, -0.449388 - 0.523592 I, 0.0886598 + 0.312831 I, -0.0330371 - 0.108329 I, 0.298128 + 0.25774 I, 0.292307 + 0.0315578 I},
{0.150534 + 0.0333379 I, -0.192014 - 0.0661778 I, 0.0153265 + 0.0479801 I, -0.430202 - 0.106216 I, 0.189483 + 0.397785 I, 0.536049 + 0.50458 I},
{0.355646 + 0.340179 I, -0.130656 - 0.212815 I, 0.0198986 + 0.252685 I, -0.424495 - 0.342148 I, 0.113409 + 0.133096 I, 0.363514 + 0.413771 I},
{0.431399 + 0.32583 I, -0.032726 - 0.0302659 I, 0.266222 + 0.423125 I, -0.000218075 - 0.107163 I, 0.401412 + 0.274436 I, 0.455963 + 0.000552553 I},
{0.245023 + 0.131188 I, -0.322098 - 0.0993293 I, 0.395334 + 0.421658 I, -0.372008 - 0.297938 I, 0.287655 + 0.355183 I, 0.121345 + 0.155798 I},
{0.115906 + 0.360449 I, -0.374664 - 0.143737 I, 0.104348 + 0.398964 I, -0.292765 - 0.415055 I, 0.397053 + 0.188977 I, 0.209266 + 0.174388 I},
{0.393658 + 0.33844 I, -0.210225 - 0.34094 I, 0.269544 + 0.303642 I, -0.201601 - 0.186298 I, 0.365329 + 0.0217822 I, 0.287383 + 0.336639 I},
{0.0921522 + 0.463467 I, -0.109292 - 0.139299 I, 0.382866 + 0.316997 I, -0.0937053 - 0.0525544 I, 0.273493 + 0.456139 I, 0.246551 + 0.378275 I},
{0.390636 + 0.088749 I, -0.418584 - 0.0586242 I, 0.0801013 + 0.211674 I, -0.124793 - 0.389423 I, 0.332602 + 0.536792 I, 0.208689 + 0.0105568 I},
{0.392653 + 0.136643 I, -0.396473 - 0.22346 I, 0.000434327 + 0.200126 I, -0.0959421 - 0.469222 I, 0.444683 + 0.223268 I, 0.315594 + 0.0584045 I},
{0.48757 + 0.181507 I, -0.506952 - 0.100704 I, 0.0298413 + 0.391675 I, -0.240783 - 0.404191 I, 0.195005 + 0.216491 I, 0.0249411 + 0.0320164 I},
{0.46862 + 0.134347 I, -0.295782 - 0.5216 I, 0.316264 + 0.0841476 I, -0.284271 - 0.0721399 I, 0.293778 + 0.101237 I, 0.305188 + 0.141352 I},
{0.0800894 + 0.466212 I, -0.149639 - 0.433687 I, 0.24285 + 0.256721 I, -0.376435 - 0.201377 I, 0.392925 + 0.282905 I, 0.155318 + 0.00832167 I},
{0.0374541 + 0.123918 I, -0.349148 - 0.392485 I, 0.2015 + 0.204942 I, -0.17469 - 0.335624 I, 0.425769 + 0.225472 I, 0.20697 + 0.454506 I},
{0.186357 + 0.268467 I, -0.424247 - 0.291236 I, 0.366812 + 0.382231 I, -0.249371 - 0.405606 I, 0.024319 + 0.140391 I, 0.195107 + 0.250342 I},
{0.268627 + 0.172477 I, -0.15974 - 0.0263671 I, 0.47479 + 0.397189 I, -0.435851 - 0.233307 I, 0.46505 + 0.110886 I, 0.0180119 + 0.124117 I},
{0.487485 + 0.133882 I, -0.12448 - 0.445726 I, 0.208415 + 0.0261264 I, -0.405927 - 0.0391546 I, 0.187143 + 0.0117481 I, 0.254988 + 0.468676 I},
{0.0554014 + 0.400293 I, -0.119117 - 0.246704 I, 0.230708 + 0.377819 I, -0.127058 - 0.398479 I, 0.270628 + 0.257814 I, 0.374651 + 0.332673 I},
{0.333255 + 0.101534 I, -0.246583 - 0.353513 I, 0.0382088 + 0.319484 I, -0.422605 - 0.0168507 I, 0.249666 + 0.51707 I, 0.281245 + 0.0406803 I},
{0.201986 + 0.112835 I, -0.0028752 - 0.346894 I, 0.372898 + 0.172574 I, -0.274609 - 0.198493 I, 0.462611 + 0.475198 I, 0.299282 + 0.114412 I},
{0.134001 + 0.302868 I, -0.0574084 - 0.146397 I, 0.345293 + 0.481159 I, -0.248402 - 0.300006 I, 0.193963 + 0.341418 I, 0.0997613 + 0.446092 I},
{0.336795 + 0.014273 I, -0.193826 - 0.222588 I, 0.100564 + 0.321309 I, -0.13472 - 0.308415 I, 0.306573 + 0.428823 I, 0.393675 + 0.373863 I},
{0.398758 + 0.159398 I, -0.306003 - 0.357636 I, 0.318442 + 0.0134782 I, -0.291416 - 0.132817 I, 0.346025 + 0.157424 I, 0.340733 + 0.359552 I},
{0.398668 + 0.0831821 I, -0.0273154 - 0.215272 I, 0.363711 + 0.17448 I, -0.443219 - 0.143618 I, 0.352703 + 0.282791 I, 0.103013 + 0.438494 I},
{0.383567 + 0.103868 I, -0.341697 - 0.392134 I, 0.219369 + 0.289676 I, -0.125805 - 0.160095 I, 0.491968 + 0.0180825 I, 0.0868422 + 0.384926 I},
{0.0661892 + 0.171129 I, -0.434869 - 0.219488 I, 0.306519 + 0.393654 I, -0.465893 - 0.0636607 I, 0.172 + 0.128306 I, 0.269912 + 0.37433 I},
{0.213535 + 0.4365 I, -0.0937835 - 0.247668 I, 0.329815 + 0.438258 I, -0.208251 - 0.45254 I, 0.236067 + 0.176501 I, 0.112625 + 0.212514 I},
{0.374568 + 0.28235 I, -0.363009 - 0.156744 I, 0.0804967 + 0.00290136 I, -0.590951 - 0.419449 I, 0.173294 + 0.0274401 I, 0.247041 + 0.013083 I},
{0.406682 + 0.376728 I, -0.181374 - 0.136525 I, 0.0649942 + 0.325246 I, -0.264245 - 0.388398 I, 0.29052 + 0.285462 I, 0.0982058 + 0.367326 I},
{0.148613 + 0.109863 I, -0.406938 - 0.393939 I, 0.174186 + 0.380979 I, -0.390614 - 0.152317 I, 0.335664 + 0.253974 I, 0.0847208 + 0.330819 I},
{0.0548854 + 0.173819 I, -0.314809 - 0.269546 I, 0.051775 + 0.406327 I, -0.36287 - 0.405802 I, 0.348935 + 0.358351 I, 0.0136314 + 0.28377 I},
{0.458046 + 0.398299 I, -0.172414 - 0.046969 I, 0.252154 + 0.287776 I, -0.134245 - 0.253445 I, 0.0938304 + 0.269636 I, 0.240164 + 0.481435 I},
{0.207091 + 0.295951 I, -0.274788 - 0.270161 I, 0.377715 + 0.0783221 I, -0.0292463 - 0.314727 I, 0.0637893 + 0.334822 I, 0.403974 + 0.43926 I},
{0.477389 + 0.49239 I, -0.239808 - 0.15369 I, 0.0498831 + 0.215389 I, -0.291806 - 0.27873 I, 0.290285 + 0.0753866 I, 0.348023 + 0.160413 I},
{0.290546 + 0.185925 I, -0.192047 - 0.282143 I, 0.0795031 + 0.0597205 I, -0.385651 - 0.207352 I, 0.300695 + 0.484167 I, 0.00781773 + 0.487875 I},
{0.386004 + 0.222361 I, -0.139526 - 0.114533 I, 0.10158 + 0.438122 I, -0.350649 - 0.162711 I, 0.367935 + 0.0317964 I, 0.0841153 + 0.523269 I},
{0.404414 + 0.113972 I, -0.132402 - 0.297561 I, 0.167902 + 0.146934 I, -0.314406 - 0.500695 I, 0.26681 + 0.285288 I, 0.222509 + 0.340547 I},
{0.018073 + 0.187958 I, -0.159628 - 0.508338 I, 0.171044 + 0.337746 I, -0.274921 - 0.0786674 I, 0.0301042 + 0.109328 I, 0.483828 + 0.456519 I},
{0.160576 + 0.236828 I, -0.384622 - 0.273976 I, 0.281898 + 0.192835 I, -0.392106 - 0.193828 I, 0.045863 + 0.37356 I, 0.401042 + 0.290995 I},
{0.218409 + 0.0406953 I, -0.536239 - 0.314698 I, 0.235538 + 0.280744 I, -0.088055 - 0.180704 I, 0.168554 + 0.450996 I, 0.396914 + 0.00204454 I},
{0.202445 + 0.272793 I, -0.414197 - 0.32501 I, 0.256205 + 0.2074 I, -0.415012 - 0.0447891 I, 0.0273761 + 0.372913 I, 0.354327 + 0.243212 I},
{0.114208 + 0.170019 I, -0.409654 - 0.343171 I, 0.138694 + 0.440001 I, -0.229374 - 0.174367 I, 0.440424 + 0.0370448 I, 0.364737 + 0.219626 I},
{0.0464183 + 0.46759 I, -0.381174 - 0.165764 I, 0.202097 + 0.357577 I, -0.445542 - 0.00652037 I, 0.203627 + 0.259791 I, 0.151117 + 0.3277 I},
{0.0580028 + 0.165228 I, -0.297918 - 0.0931742 I, 0.0582151 + 0.303564 I, -0.43929 - 0.382635 I, 0.149704 + 0.376353 I, 0.460319 + 0.247037 I},
{0.124918 + 0.385617 I, -0.432421 - 0.0904737 I, 0.258024 + 0.353399 I, -0.218552 - 0.105603 I, 0.0834106 + 0.398486 I, 0.305229 + 0.36225 I},
{0.196252 + 0.440362 I, -0.174251 - 0.351122 I, 0.230322 + 0.304121 I, -0.259279 - 0.396026 I, 0.33027 + 0.318111 I, 0.018855 + 0.183542 I},
{0.0431742 + 0.474842 I, -0.0982328 - 0.358598 I, 0.0990082 + 0.322302 I, -0.252806 - 0.281541 I, 0.247066 + 0.376817 I, 0.172715 + 0.380393 I},
{0.35413 + 0.433167 I, -0.423772 - 0.176742 I, 0.18948 + 0.459628 I, -0.116572 - 0.173981 I, 0.311609 + 0.180909 I, 0.0685802 + 0.224918 I},
{0.316562 + 0.417856 I, -0.401164 - 0.334794 I, 0.0604762 + 0.15025 I, -0.414176 - 0.234113 I, 0.234457 + 0.0921909 I, 0.00367286 + 0.368916 I},
{0.230015 + 0.228263 I, -0.00711897 - 0.452797 I, 0.101368 + 0.394432 I, -0.29019 - 0.164025 I, 0.0120801 + 0.406691 I, 0.325702 + 0.375929 I},
{0.421458 + 0.256227 I, -0.451261 - 0.345019 I, 0.37084 + 0.244572 I, -0.00525316 - 0.0718006 I, 0.162599 + 0.0750639 I, 0.2868 + 0.342342 I},
{0.290892 + 0.502856 I, -0.124628 - 0.111509 I, 0.4786 + 0.141366 I, -0.0889098 - 0.208865 I, 0.0109569 + 0.0523152 I, 0.372279 + 0.438783 I},
{0.0220926 + 0.384858 I, -0.431518 - 0.0880657 I, 0.305351 + 0.00978189 I, -0.358673 - 0.124227 I, 0.11155 + 0.226477 I, 0.416673 + 0.427396 I},
{0.247301 + 0.318895 I, -0.135893 - 0.240595 I, 0.556642 + 0.352062 I, -0.0386389 - 0.0589473 I, 0.0106634 + 0.562921 I, 0.0110593 + 0.0700909 I},
{0.296195 + 0.295415 I, -0.432288 - 0.390881 I, 0.00433485 + 0.217875 I, -0.102136 - 0.13464 I, 0.238615 + 0.370536 I, 0.37752 + 0.269323 I},
{0.034071 + 0.367793 I, -0.338304 - 0.474071 I, 0.0458603 + 0.209971 I, -0.428452 - 0.0467388 I, 0.167471 + 0.031272 I, 0.290675 + 0.42298 I},
{0.279042 + 0.263154 I, -0.325261 - 0.285115 I, 0.454528 + 0.334392 I, -0.0412764 - 0.0388956 I, 0.235542 + 0.147462 I, 0.364403 + 0.366273 I},
{0.324546 + 0.427621 I, -0.1154 - 0.355212 I, 0.431463 + 0.17106 I, -0.212918 - 0.0517185 I, 0.399557 + 0.189904 I, 0.241429 + 0.234287 I},
{0.0258788 + 0.200303 I, -0.353597 - 0.35799 I, 0.459247 + 0.283065 I, -0.306167 - 0.0264155 I, 0.233887 + 0.303605 I, 0.265327 + 0.321362 I},
{0.408042 + 0.314637 I, -0.163209 - 0.284803 I, 0.160408 + 0.357063 I, -0.396803 - 0.0236522 I, 0.367541 + 0.36972 I, 0.022627 + 0.207911 I},
{0.480178 + 0.0074949 I, -0.176102 - 0.206381 I, 0.245766 + 0.472178 I, -0.33663 - 0.0764719 I, 0.0549824 + 0.193837 I, 0.502621 + 0.00488857 I},
{0.438385 + 0.208639 I, -0.0507105 - 0.444081 I, 0.00989683 + 0.273864 I, -0.322664 - 0.137038 I, 0.184922 + 0.337376 I, 0.0115793 + 0.467296 I},
{0.223779 + 0.059998 I, -0.0691897 - 0.156224 I, 0.387678 + 0.232737 I, -0.276276 - 0.403616 I, 0.22766 + 0.33101 I, 0.204847 + 0.519689 I},
{0.0385083 + 0.223034 I, -0.0418594 - 0.252792 I, 0.310603 + 0.271261 I, -0.306296 - 0.46067 I, 0.237825 + 0.0439187 I, 0.446213 + 0.386562 I},
{0.0414455 + 0.414356 I, -0.32442 - 0.47017 I, 0.0745599 + 0.285129 I, -0.31713 - 0.326049 I, 0.328778 + 0.0905202 I, 0.144963 + 0.263141 I},
{0.121036 + 0.285481 I, -0.214905 - 0.416243 I, 0.134738 + 0.228379 I, -0.362793 - 0.432252 I, 0.276737 + 0.255628 I, 0.389037 + 0.0485586 I},
{0.0943054 + 0.36988 I, -0.0272617 - 0.186269 I, 0.260759 + 0.409041 I, -0.212987 - 0.405184 I, 0.136542 + 0.40954 I, 0.25725 + 0.348517 I},
{0.0885766 + 0.382359 I, -0.159058 - 0.41688 I, 0.331201 + 0.291694 I, -0.0190877 - 0.414461 I, 0.438413 + 0.0759423 I, 0.0497682 + 0.28195 I},
{0.0286959 + 0.128718 I, -0.223068 - 0.362826 I, 0.344546 + 0.336488 I, -0.0333513 - 0.30688 I, 0.130146 + 0.462123 I, 0.118907 + 0.478903 I},
{0.095813 + 0.07578 I, -0.0362738 - 0.234132 I, 0.500977 + 0.25425 I, -0.156803 - 0.220426 I, 0.0425858 + 0.0295178 I, 0.442282 + 0.584679 I},
{0.352478 + 0.0759624 I, -0.374563 - 0.296247 I, 0.412786 + 0.506392 I, -0.101331 - 0.0503275 I, 0.31132 + 0.295885 I, 0.124941 + 0.0471615 I},
{0.292477 + 0.420382 I, -0.345823 - 0.0719036 I, 0.196182 + 0.345464 I, -0.0439622 - 0.280796 I, 0.236835 + 0.464273 I, 0.0789794 + 0.310618 I},
{0.117119 + 0.320024 I, -0.101179 - 0.108019 I, 0.503005 + 0.380938 I, -0.489812 - 0.217417 I, 0.182218 + 0.113043 I, 0.0334954 + 0.359921 I},
{0.367493 + 0.389682 I, -0.252253 - 0.293992 I, 0.344784 + 0.180093 I, -0.313139 - 0.0537355 I, 0.299161 + 0.156338 I, 0.225652 + 0.382 I},
{0.00767155 + 0.0421366 I, -0.466609 - 0.390574 I, 0.0334941 + 0.261762 I, -0.377138 - 0.314113 I, 0.0549352 + 0.17532 I, 0.44885 + 0.286585 I},
{0.269557 + 0.385925 I, -0.188467 - 0.36467 I, 0.228491 + 0.128292 I, -0.0914721 - 0.500412 I, 0.513478 + 0.00223208 I, 0.123397 + 0.0596614 I},
{0.222758 + 0.196287 I, -0.405807 - 0.367685 I, 0.0901179 + 0.354781 I, -0.421472 - 0.420682 I, 0.305921 + 0.0610121 I, 0.0372288 + 0.157095 I},
{0.268523 + 0.136766 I, -0.202043 - 0.547648 I, 0.275346 + 0.187119 I, -0.158072 - 0.14375 I, 0.262379 + 0.434817 I, 0.356533 + 0.164155 I},
{0.291869 + 0.060869 I, -0.0985945 - 0.123654 I, 0.449792 + 0.0201199 I, -0.28132 - 0.0738021 I, 0.405665 + 0.474907 I, 0.197048 + 0.412143 I},
{0.109528 + 0.0804601 I, -0.148726 - 0.118849 I, 0.417333 + 0.441757 I, -0.304813 - 0.330157 I, 0.404582 + 0.3875 I, 0.222695 + 0.103046 I},
{0.254855 + 0.0653692 I, -0.146235 - 0.456241 I, 0.0265366 + 0.364159 I, -0.395395 - 0.453312 I, 0.130682 + 0.399464 I, 0.111601 + 0.130333 I},
{0.43022 + 0.321027 I, -0.317312 - 0.187612 I, 0.0969871 + 0.0418671 I, -0.34872 - 0.510794 I, 0.257601 + 0.0694429 I, 0.333306 + 0.00422367 I},
{0.221776 + 0.354731 I, -0.400263 - 0.424207 I, 0.272153 + 0.397786 I, -0.09823 - 0.303596 I, 0.1298 + 0.230846 I, 0.205357 + 0.195934 I},
{0.36755 + 0.44586 I, -0.379703 - 0.380419 I, 0.266318 + 0.326312 I, -0.306289 - 0.0886812 I, 0.152238 + 0.0984115 I, 0.253555 + 0.0314501 I},
{0.355421 + 0.383513 I, -0.296894 - 0.214297 I, 0.166084 + 0.189944 I, -0.0562746 - 0.435643 I, 0.146644 + 0.445226 I, 0.0338499 + 0.339166 I},
{0.123243 + 0.00950754 I, -0.046652 - 0.490191 I, 0.418383 + 0.374158 I, -0.329822 - 0.118563 I, 0.0964659 + 0.119782 I, 0.145416 + 0.50949 I},
{0.0045939 + 0.266501 I, -0.138885 - 0.346605 I, 0.270291 + 0.453756 I, -0.101449 - 0.16485 I, 0.466006 + 0.261436 I, 0.183628 + 0.39228 I},
{0.50551 + 0.240269 I, -0.330156 - 0.329329 I, 0.0309515 + 0.287819 I, -0.196888 - 0.172664 I, 0.443236 + 0.168192 I, 0.282519 + 0.111045 I},
{0.218974 + 0.118555 I, -0.454317 - 0.0425805 I, 0.254482 + 0.443583 I, -0.307144 - 0.285104 I, 0.429719 + 0.324765 I, 0.0252352 + 0.0431606 I},
{0.310202 + 0.0578657 I, -0.0591328 - 0.285181 I, 0.00670849 + 0.237331 I, -0.302203 - 0.490803 I, 0.353741 + 0.45065 I, 0.104708 + 0.296368 I},
{0.0412803 + 0.0793082 I, -0.345298 - 0.43892 I, 0.27441 + 0.296146 I, -0.248349 - 0.423449 I, 0.434685 + 0.293603 I, 0.0113668 + 0.029193 I},
{0.0297608 + 0.411066 I, -0.209577 - 0.343581 I, 0.11834 + 0.261715 I, -0.370995 - 0.400209 I, 0.00906721 + 0.340265 I, 0.193156 + 0.367006 I},
{0.331425 + 0.146488 I, -0.105514 - 0.271761 I, 0.270571 + 0.365176 I, -0.439797 - 0.0230996 I, 0.159155 + 0.327434 I, 0.250592 + 0.433421 I},
{0.25214 + 0.249232 I, -0.480022 - 0.0692224 I, 0.352125 + 0.434555 I, -0.221609 - 0.134168 I, 0.364142 + 0.276189 I, 0.0333477 + 0.221727 I},
{0.241903 + 0.00862013 I, -0.575252 - 0.241423 I, 0.125397 + 0.401861 I, -0.0264316 - 0.399004 I, 0.169232 + 0.241358 I, 0.213173 + 0.287667 I}
}
